Base Currency,Quote Currency,Exchange Rate
CNY,CNY,1.0
CNY,AED,0.517
CNY,AFN,9.5441
CNY,ALL,12.7001
CNY,AMD,54.4934
CNY,ANG,0.252
CNY,AOA,131.5267
CNY,ARS,140.041
CNY,AUD,0.2125
CNY,AWG,0.252
CNY,AZN,0.2393
CNY,BAM,0.2523
CNY,BBD,0.2816
CNY,BDT,16.8233
CNY,BGN,0.2524
CNY,BHD,0.05293
CNY,BIF,410.3905
CNY,BMD,0.1408
CNY,BND,0.1853
CNY,BOB,0.9751
CNY,BRL,0.8145
CNY,BSD,0.1408
CNY,BTN,11.8399
CNY,BWP,1.8727
CNY,BYN,0.4631
CNY,BZD,0.2816
CNY,CAD,0.1951
CNY,CDF,398.9907
CNY,CHF,0.1215
CNY,CLP,134.1687
CNY,COP,624.1879
CNY,CRC,72.0125
CNY,CUP,3.3787
CNY,CVE,14.2265
CNY,CZK,3.2705
CNY,DJF,25.0196
CNY,DKK,0.9621
CNY,DOP,8.4812
CNY,DZD,18.7318
CNY,EGP,6.9165
CNY,ERN,2.1117
CNY,ETB,17.2917
CNY,EUR,0.129
CNY,FJD,0.3166
CNY,FKP,0.1082
CNY,FOK,0.962
CNY,GBP,0.1082
CNY,GEL,0.3841
CNY,GGP,0.1082
CNY,GHS,2.337
CNY,GIP,0.1082
CNY,GMD,10.0646
CNY,GNF,1221.1681
CNY,GTQ,1.0858
CNY,GYD,29.4337
CNY,HKD,1.0939
CNY,HNL,3.5477
CNY,HRK,0.9721
CNY,HTG,18.5178
CNY,HUF,52.772
CNY,IDR,2216.2265
CNY,ILS,0.5277
CNY,IMP,0.1082
CNY,INR,11.8408
CNY,IQD,184.1496
CNY,IRR,5984.6805
CNY,ISK,19.2378
CNY,JEP,0.1082
CNY,JMD,22.2583
CNY,JOD,0.09981
CNY,JPY,21.3827
CNY,KES,18.1709
CNY,KGS,11.9896
CNY,KHR,574.5467
CNY,KID,0.2125
CNY,KMF,63.4742
CNY,KRW,194.0933
CNY,KWD,0.0428
CNY,KYD,0.1173
CNY,KZT,68.8257
CNY,LAK,3080.66
CNY,LBP,12599.8146
CNY,LKR,41.2482
CNY,LRD,26.9702
CNY,LSL,2.4531
CNY,LYD,0.6764
CNY,MAD,1.3837
CNY,MDL,2.5126
CNY,MGA,652.8939
CNY,MKD,7.9417
CNY,MMK,404.3249
CNY,MNT,484.0648
CNY,MOP,1.1267
CNY,MRU,5.6167
CNY,MUR,6.4555
CNY,MVR,2.1725
CNY,MWK,245.1074
CNY,MXN,2.8341
CNY,MYR,0.6117
CNY,MZN,8.9939
CNY,NAD,2.4531
CNY,NGN,232.6941
CNY,NIO,5.1773
CNY,NOK,1.5438
CNY,NPR,18.9438
CNY,NZD,0.2346
CNY,OMR,0.05413
CNY,PAB,0.1408
CNY,PEN,0.531
CNY,PGK,0.5583
CNY,PHP,8.2079
CNY,PKR,39.1101
CNY,PLN,0.5626
CNY,PYG,1107.1069
CNY,QAR,0.5124
CNY,RON,0.6428
CNY,RSD,15.1241
CNY,RUB,13.7659
CNY,RWF,196.3668
CNY,SAR,0.5279
CNY,SBD,1.1721
CNY,SCR,1.9682
CNY,SDG,62.9066
CNY,SEK,1.5072
CNY,SGD,0.1853
CNY,SHP,0.1082
CNY,SLE,3.2032
CNY,SLL,3202.8717
CNY,SOS,80.3937
CNY,SRD,4.8917
CNY,SSP,485.7038
CNY,STN,3.161
CNY,SYP,1814.5274
CNY,SZL,2.4531
CNY,THB,4.7308
CNY,TJS,1.5011
CNY,TMT,0.4927
CNY,TND,0.4357
CNY,TOP,0.3349
CNY,TRY,4.8366
CNY,TTD,0.9539
CNY,TVD,0.2125
CNY,TWD,4.4927
CNY,TZS,377.4703
CNY,UAH,5.8327
CNY,UGX,515.1214
CNY,USD,0.1408
CNY,UYU,5.8554
CNY,UZS,1804.6802
CNY,VES,6.1195
CNY,VND,3567.4394
CNY,VUV,16.9414
CNY,WST,0.3876
CNY,XAF,84.6323
CNY,XCD,0.3801
CNY,XDR,0.1055
CNY,XOF,84.6323
CNY,XPF,15.3963
CNY,YER,35.1918
CNY,ZAR,2.4517
CNY,ZMW,3.7943
CNY,ZWL,0.9718
EUR,EUR,1.0
EUR,AED,4.0078
EUR,AFN,73.8236
EUR,ALL,98.2353
EUR,AMD,421.5556
EUR,ANG,1.9534
EUR,AOA,1018.2688
EUR,ARS,1085.5823
EUR,AUD,1.6467
EUR,AWG,1.9534
EUR,AZN,1.8512
EUR,BAM,1.9558
EUR,BBD,2.1826
EUR,BDT,130.3647
EUR,BGN,1.9558
EUR,BHD,0.4103
EUR,BIF,3166.9928
EUR,BMD,1.0913
EUR,BND,1.436
EUR,BOB,7.5426
EUR,BRL,6.3
EUR,BSD,1.0913
EUR,BTN,91.7193
EUR,BWP,14.5533
EUR,BYN,3.5836
EUR,BZD,2.1826
EUR,CAD,1.5117
EUR,CDF,3084.6204
EUR,CHF,0.9418
EUR,CLP,1038.1436
EUR,CNY,7.7493
EUR,COP,4828.0962
EUR,CRC,557.0178
EUR,CUP,26.1915
EUR,CVE,110.265
EUR,CZK,25.3365
EUR,DJF,193.949
EUR,DKK,7.4584
EUR,DOP,65.6018
