Company Name,Link to Wikipedia Page,GICS Sector,GICS Sub-Industry,Headquarters Location,Industry,Revenue,Net Income,Number of Employees,Market Cap,CEO,Founder(s),Founded
3M,https://en.wikipedia.org/wiki/3M,Industrial Conglomerates,"Saint Paul, Minnesota",1957-03-04,Conglomerate,32.68,6.99,85000,,William M. Brown,"J. Danley Budd, Henry S. Bryan, William A. McGonagle, John Dwan, Hermon W. Cable, Charles Simmons",1902
A. O. Smith,https://en.wikipedia.org/wiki/A._O._Smith,Building Products,"Milwaukee, Wisconsin",2017-07-26,Water technology,2.9,0.37,151005,,Kevin J. Wheeler,Charles Jeremiah Smith,1874
Abbott Laboratories,https://en.wikipedia.org/wiki/Abbott_Laboratories,Health Care Equipment,"North Chicago, Illinois",1957-03-04,"Health care, Medical devices, Pharmaceutical",40.1,5.72,114000,,,Wallace Calvin Abbott,1888
AbbVie,https://en.wikipedia.org/wiki/AbbVie,Biotechnology,"North Chicago, Illinois",2012-12-31,Biopharmaceutical,54.32,4.873,50000,,Robert Michael,,2012
Accenture,https://en.wikipedia.org/wiki/Accenture,IT Consulting & Other Services,"Dublin, Ireland",2011-07-06,"Professional services, Information technology consulting",64.9,7.42,774000,,Julie Sweet,,1989
Adobe Inc.,https://en.wikipedia.org/wiki/Adobe_Inc.,Application Software,"San Jose, California",1997-05-05,Software,19.41,5.428,29945,,Shantanu Narayen,"John Warnock, Charles Geschke",1982
Advanced Micro Devices,https://en.wikipedia.org/wiki/AMD,Semiconductors,"Santa Clara, California",2017-03-20,"Semiconductors, Artificial intelligence, GPUs, Consumer electronics, Video games, Computer hardware",22.68,0.854,26000,,Lisa Su,Team led byJerry Sanders,1969
AES Corporation,https://en.wikipedia.org/wiki/AES_Corporation,Independent Power Producers & Energy Traders,"Arlington, Virginia",1998-10-02,Energy,12.7,0.249,9600,,Jay Morse,"Roger Sant, Dennis Bakke",1981
Aflac,https://en.wikipedia.org/wiki/Aflac,Life & Health Insurance,"Columbus, Georgia",1999-05-28,InsuranceHuman resourcesservices,18.7,4.659,12785,,Dan Amos,"John Amos, Paul Amos, Bill Amos",1955
Agilent Technologies,https://en.wikipedia.org/wiki/Agilent_Technologies,Life Sciences Tools & Services,"Santa Clara, California",2000-06-05,Healthcare equipment and services,6.83,1.24,18100,,Padraig McDonnell,,1999
Air Products,https://en.wikipedia.org/wiki/Air_Products,Industrial Gases,"Upper Macungie Township, Pennsylvania",1985-04-30,"Industrial gas,chemicals",12.6,2.34,23000,,Seifi Ghasemi,Leonard P. Pool,1940
Airbnb,https://en.wikipedia.org/wiki/Airbnb,"Hotels, Resorts & Cruise Lines","San Francisco, California",2023-09-18,Lodging,5.99,0.352,6907,,Brian Chesky,"Brian Chesky, Joe Gebbia, Nathan Blecharczyk",2008
Akamai Technologies,https://en.wikipedia.org/wiki/Akamai_Technologies,Internet Services & Infrastructure,"Cambridge, Massachusetts",2007-07-12,"Internet, Cloud computing",3.81,0.548,10250,,F. Thomson Leighton,"Daniel Lewin, F. Thomson Leighton, Randall Kaplan, Preetish Nijhawan, Jonathan Seelig",1998
Albemarle Corporation,https://en.wikipedia.org/wiki/Albemarle_Corporation,Specialty Chemicals,"Charlotte, North Carolina",2016-07-01,Chemical industry,9.62,1.57,9000,,Kent Masters,,1994
Alexandria Real Estate Equities,https://en.wikipedia.org/wiki/Alexandria_Real_Estate_Equities,Office REITs,"Pasadena, California",2017-03-20,Real estate investment trust,2.588,0.513,593,,,Joel S. MarcusJerry M. Sudarsky,1994
Align Technology,https://en.wikipedia.org/wiki/Align_Technology,Health Care Supplies,"Tempe, Arizona",2017-06-19,Orthodonticsdevices,3.86,0.445,21610,,Joe Hogan,"Zia Chishti, Kelsey Wirth",1997
Allegion,https://en.wikipedia.org/wiki/Allegion,Building Products,"Dublin, Ireland",2013-12-02,"Security,Access control",3.27,0.458,120002,,,,1908
Alliant Energy,https://en.wikipedia.org/wiki/Alliant_Energy,Electric Utilities,"Madison, Wisconsin",2016-07-01,Utilities,3.669,0.674,33752,,,,1917
Allstate,https://en.wikipedia.org/wiki/Allstate,Property & Casualty Insurance,"Northbrook, Illinois",1995-07-13,Insurance,57.09,0.213,53000,,Thomas J. Wilson,,1931
Alphabet Inc. (Class A),https://en.wikipedia.org/wiki/Alphabet_Inc.,Interactive Media & Services,"Mountain View, California",2014-04-03,Conglomerate,307.4,73.79,181269,,Sundar Pichai,"Larry Page, Sergey Brin",1998
Alphabet Inc. (Class C),https://en.wikipedia.org/wiki/Alphabet_Inc.,Interactive Media & Services,"Mountain View, California",2006-04-03,Conglomerate,307.4,73.79,181269,,Sundar Pichai,"Larry Page, Sergey Brin",1998
Altria,https://en.wikipedia.org/wiki/Altria,Tobacco,"Richmond, Virginia",1957-03-04,Tobacco,21.111,2.475,6000,,Billy Gifford,,1985
Amazon,https://en.wikipedia.org/wiki/Amazon_(company),Broadline Retail,"Seattle, Washington",2005-11-18,Conglomerate,574.8,30.43,1525000,,Andy Jassy,Jeff Bezos,1994
Amcor,https://en.wikipedia.org/wiki/Amcor,Paper & Plastic Packaging Products & Materials,"Warmley, Bristol, United Kingdom",2019-06-07,Packaging,13.6,0.74,41000,,,,1896
